year,player,victory,winner,error,total
2009,Rafael Nadal,1,50,41,173
2009,Roger Federer,0,71,64,174
2010,Roger Federer,1,46,42,116
2010,Andy Murray,0,29,36,100
2011,Novak Djokovic,1,26,33,106
2011,Andy Murray,0,21,47,78
2012,Novak Djokovic,1,57,69,193
2012,Rafael Nadal,0,44,71,176
2013,Novak Djokovic,1,47,61,139
2013,Andy Murray,0,29,46,126
2005,Marat Safin,1,54,36,122
2005,Lleyton Hewitt,0,33,22,113
2006,Roger Federer,1,50,48,142
2006,Marcos Baghdatis,0,34,48,116
2007,Roger Federer,1,45,19,120
2007,Fernando Gonzalez,0,31,28,93
2008,Novak Djokovic,1,46,35,136
2008,Jo-Wilfried Tsonga,0,44,41,122
2014,Stanislas Wawrinka,1,53,49,116
2014,Rafael Nadal,0,19,32,88
